rep,gen,species,genotype,n,lag,Ta
0,32,Escherichia coli,E1g0,0.5902080604466666,2.063247055195676,3
0,32,Escherichia coli,E2g0,0.5902080604466666,2.0267096678590244,3
0,32,Escherichia coli,E3g19,1.003185594475505,1.7265430035931064,3
0,32,Salmonella enterica,S0g0,5.735814895584235,1.0,3
0,32,Salmonella enterica,S1g10,0.9801448387968846,1.9071652980213267,3
0,32,Salmonella enterica,S2g31,1.0,1.5167487682339498,3
0,33,Escherichia coli,E0g0,57.364139727877266,1.0,3
0,33,Escherichia coli,E1g0,0.590327017726879,2.063247055195676,3
0,33,Escherichia coli,E2g0,0.590327017726879,2.0267096678590244,3
0,33,Escherichia coli,E3g19,1.0033877879693944,1.7265430035931064,3
0,33,Salmonella enterica,S0g0,5.736392724234769,1.0,3
0,33,Salmonella enterica,S1g10,0.9802435790421374,1.9071652980213267,3
0,33,Salmonella enterica,S2g31,1.0001007404633961,1.5167487682339498,3
0,34,Escherichia coli,E0g0,56.35540064744217,1.0,3
0,34,Escherichia coli,E1g0,0.590237084968967,2.063247055195676,3
0,34,Escherichia coli,E2g0,0.590237084968967,2.0267096678590244,3
0,34,Escherichia coli,E3g19,1.0032349278963906,1.7265430035931064,3
0,34,Escherichia coli,E4g33,1.0,1.8911127598626738,3
0,34,Salmonella enterica,S0g0,5.7359555821855315,1.0,3
0,34,Salmonella enterica,S1g10,0.9801688795388991,1.9071652980213267,3
0,34,Salmonella enterica,S2g31,1.0000245277443358,1.5167487682339498,3
0,35,Escherichia coli,E0g0,56.36189304070484,1.0,3
0,35,Escherichia coli,E1g0,0.59030508291113,2.063247055195676,3
0,35,Escherichia coli,E2g0,0.59030508291113,2.0267096678590244,3
0,35,Escherichia coli,E3g19,1.0033505050302927,1.7265430035931064,3
0,35,Escherichia coli,E4g33,1.0001152044557935,1.8911127598626738,3
0,35,Salmonella enterica,S0g0,5.736285803508993,1.0,3
0,35,Salmonella enterica,S1g10,0.980225308264674,1.9071652980213267,3
0,35,Salmonella enterica,S2g31,1.000082099567949,1.5167487682339498,3
0,36,Escherichia coli,E0g0,56.35698492535962,1.0,3
0,36,Escherichia coli,E1g0,0.5902536778698979,2.063247055195676,3
0,36,Escherichia coli,E2g0,0.5902536778698979,2.0267096678590244,3
0,36,Escherichia coli,E3g19,1.0032631311018358,1.7265430035931064,3
0,36,Escherichia coli,E4g33,1.0000281122642944,1.8911127598626738,3
0,36,Salmonella enterica,S0g0,5.736035861059942,1.0,3
0,36,Salmonella enterica,S1g10,0.9801825977159722,1.9071652980213267,3
0,36,Salmonella enterica,S2g31,1.000038523815657,1.5167487682339498,3
0,37,Escherichia coli,E0g0,56.360696129982365,1.0,3
0,37,Escherichia coli,E1g0,0.5902925470922439,2.063247055195676,3
0,37,Escherichia coli,E2g0,0.5902925470922439,2.0267096678590244,3
0,37,Escherichia coli,E3g19,1.0033291977087482,1.7265430035931064,3
0,37,Escherichia coli,E4g33,1.0000939658396428,1.8911127598626738,3
0,37,Salmonella enterica,S0g0,5.7362245489104255,1.0,3
0,37,Salmonella enterica,S1g10,0.9802148409850028,1.9071652980213267,3
0,37,Salmonella enterica,S2g31,1.000071420248664,1.5167487682339498,3
0,38,Escherichia coli,E0g0,56.35789072577404,1.0,3
0,38,Escherichia coli,E1g0,0.5902631647511877,2.063247055195676,3
0,38,Escherichia coli,E2g0,0.5902631647511877,2.0267096678590244,3
0,38,Escherichia coli,E3g19,1.0032792560978872,1.7265430035931064,3
0,38,Escherichia coli,E4g33,1.0000441852653503,1.8911127598626738,3
0,38,Salmonella enterica,S0g0,5.736081611330217,1.0,3
0,38,Salmonella enterica,S1g10,0.9801904155922605,1.9071652980213267,3
0,38,Salmonella enterica,S2g31,1.0000465000615868,1.5167487682339498,3
0,39,Escherichia coli,E0g0,56.360012183484514,1.0,3
0,39,Escherichia coli,E1g0,0.5902853837932059,2.063247055195676,3
0,39,Escherichia coli,E2g0,0.5902853837932059,2.0267096678590244,3
0,39,Escherichia coli,E3g19,1.0033170221406926,1.7265430035931064,3
0,39,Escherichia coli,E4g33,1.0000818295316718,1.8911127598626738,3
0,39,Salmonella enterica,S0g0,5.736189397873929,1.0,3
0,39,Salmonella enterica,S1g10,0.9802088343220181,1.9071652980213267,3
0,39,Salmonella enterica,S2g31,1.000065291906451,1.5167487682339498,3
0,40,Escherichia coli,E0g0,56.358408703149095,1.0,3
0,40,Escherichia coli,E1g0,0.590268589776161,2.063247055195676,3
0,40,Escherichia coli,E2g0,0.590268589776161,2.0267096678590244,3
0,40,Escherichia coli,E3g19,1.0032884770951405,1.7265430035931064,3
0,40,Escherichia coli,E4g33,1.0000533765295263,1.8911127598626738,3
0,40,Salmonella enterica,S0g0,5.73610762511826,1.0,3
0,40,Salmonella enterica,S1g10,0.9801948608682161,1.9071652980213267,3
0,40,Salmonella enterica,S2g31,1.0000510353871666,1.5167487682339498,3
0,41,Escherichia coli,E0g0,56.359621450513785,1.0,3
0,41,Escherichia coli,E1g0,0.5902812914597788,2.063247055195676,3
0,41,Escherichia coli,E2g0,0.5902812914597788,2.0267096678590244,3
0,41,Escherichia coli,E3g19,1.0033100663394923,1.7265430035931064,3
0,41,Escherichia coli,E4g33,1.000074896159425,1.8911127598626738,3
0,41,Salmonella enterica,S0g0,5.736169167990106,1.0,3
0,41,Salmonella enterica,S1g10,0.9802053774084647,1.9071652980213267,3
0,41,Salmonella enterica,S2g31,1.0000617649649066,1.5167487682339498,3
0,42,Escherichia coli,E0g0,56.358704997998196,1.0,3
0,42,Escherichia coli,E1g0,0.5902716930139336,2.063247055195676,3
0,42,Escherichia coli,E2g0,0.5902716930139336,2.0267096678590244,3
0,42,Escherichia coli,E3g19,1.0032937517154703,1.7265430035931064,3
0,42,Escherichia coli,E4g33,1.0000586341418578,1.8911127598626738,3
0,42,Salmonella enterica,S0g0,5.736122357500043,1.0,3
0,42,Salmonella enterica,S1g10,0.9801973783601903,1.9071652980213267,3
0,42,Salmonella enterica,S2g31,1.0000536038769114,1.5167487682339498,3
0,43,Escherichia coli,E0g0,56.359398320292115,1.0,3
0,43,Escherichia coli,E1g0,0.5902789545101693,2.063247055195676,3
0,43,Escherichia coli,E2g0,0.5902789545101693,2.0267096678590244,3
0,43,Escherichia coli,E3g19,1.0033060941907888,1.7265430035931064,3
0,43,Escherichia coli,E4g33,1.0000709368189005,1.8911127598626738,3
0,43,Salmonella enterica,S0g0,5.736157467194519,1.0,3
0,43,Salmonella enterica,S1g10,0.9802033779585817,1.9071652980213267,3
0,43,Salmonella enterica,S2g31,1.0000597250114098,1.5167487682339498,3
0,44,Escherichia coli,E0g0,56.35887457753557,1.0,3
0,44,Escherichia coli,E1g0,0.5902734691015972,2.063247055195676,3
0,44,Escherichia coli,E2g0,0.5902734691015972,2.0267096678590244,3
0,44,Escherichia coli,E3g19,1.0032967705586135,1.7265430035931064,3
0,44,Escherichia coli,E4g33,1.000061643250746,1.8911127598626738,3
0,44,Salmonella enterica,S0g0,5.7361306413850865,1.0,3
0,44,Salmonella enterica,S1g10,0.9801987939231587,1.9071652980213267,3
0,44,Salmonella enterica,S2g31,1.0000550481154586,1.5167487682339498,3
0,45,Escherichia coli,E0g0,56.359270992908755,1.0,3
0,45,Escherichia coli,E1g0,0.5902776209495422,2.063247055195676,3
0,45,Escherichia coli,E2g0,0.5902776209495422,2.0267096678590244,3
0,45,Escherichia coli,E3g19,1.0033038275175508,1.7265430035931064,3
0,45,Escherichia coli,E4g33,1.000068677454545,1.8911127598626738,3
0,45,Salmonella enterica,S0g0,5.736150641704488,1.0,3
0,45,Salmonella enterica,S1g10,0.9802022116083843,1.9071652980213267,3
0,45,Salmonella enterica,S2g31,1.0000585350340108,1.5167487682339498,3
0,46,Escherichia coli,E0g0,56.35897172570589,1.0,3
0,46,Escherichia coli,E1g0,0.5902744865808843,2.063247055195676,3
0,46,Escherichia coli,E2g0,0.5902744865808843,2.0267096678590244,3
0,46,Escherichia coli,E3g19,1.0032984999835939,1.7265430035931064,3
0,46,Escherichia coli,E4g33,1.0000633670992036,1.8911127598626738,3
0,46,Salmonella enterica,S0g0,5.736135239279399,1.0,3
0,46,Salmonella enterica,S1g10,0.9801995796183802,1.9071652980213267,3
0,46,Salmonella enterica,S2g31,1.0000558497267942,1.5167487682339498,3
0,47,Escherichia coli,E0g0,55.35919842706359,1.0,3
0,47,Escherichia coli,E1g0,0.5902768609327116,2.063247055195676,3
0,47,Escherichia coli,E2g0,0.5902768609327116,2.0267096678590244,3
0,47,Escherichia coli,E3g19,1.0033025357054146,1.7265430035931064,3
0,47,Escherichia coli,E4g33,1.00006738980785,1.8911127598626738,3
0,47,Escherichia coli,E5g46,1.0,1.3535818046900019,3
0,47,Salmonella enterica,S0g0,5.736146602979224,1.0,3
0,47,Salmonella enterica,S1g10,0.9802015214648154,1.9071652980213267,3
0,47,Salmonella enterica,S2g31,1.0000578309099368,1.5167487682339498,3
0,48,Escherichia coli,E0g0,55.359030504697635,1.0,3
0,48,Escherichia coli,E1g0,0.5902750704319483,2.063247055195676,3
0,48,Escherichia coli,E2g0,0.5902750704319483,2.0267096678590244,3
0,48,Escherichia coli,E3g19,1.0032994923641,1.7265430035931064,3
0,48,Escherichia coli,E4g33,1.0000643562797817,1.8911127598626738,3
0,48,Escherichia coli,E5g46,0.9999969666763512,1.3535818046900019,3
0,48,Salmonella enterica,S0g0,5.736137730310105,1.0,3
0,48,Salmonella enterica,S1g10,0.980200005289518,1.9071652980213267,3
0,48,Salmonella enterica,S2g31,1.0000562840209073,1.5167487682339498,3
0,49,Escherichia coli,E0g0,54.35915789517779,1.0,3
0,49,Escherichia coli,E1g0,0.5902764287545901,2.063247055195676,3
0,49,Escherichia coli,E2g0,0.5902764287545901,2.0267096678590244,3
0,49,Escherichia coli,E3g19,1.0033018011257093,1.7265430035931064,3
0,49,Escherichia coli,E4g33,1.0000666575967914,1.8911127598626738,3
0,49,Escherichia coli,E5g46,0.9999992678382883,1.3535818046900019,3
0,49,Escherichia coli,E6g48,1.0,1.830539649646739,3
0,49,Salmonella enterica,S0g0,5.736144157347061,1.0,3
0,49,Salmonella enterica,S1g10,0.9802011035514404,1.9071652980213267,3
0,49,Salmonella enterica,S2g31,1.0000574045307362,1.5167487682339498,3
