rep,gen,phase_end,species,genotype,n,lag,Ta
0,13,2,Escherichia coli,E5g11,1.8290160643604823,1.3048321635059736,3
0,13,2,Escherichia coli,E6g11,1.9861389148080681,1.4612149138872887,3
0,14,1,Escherichia coli,E0g0,238.45796037337152,1.0,3
0,14,1,Escherichia coli,E1g5,13.926187985603562,1.8340893491248949,3
0,14,1,Escherichia coli,E2g6,12.188439314453657,1.9923422539183828,3
0,14,1,Escherichia coli,E3g8,2.027193869072026,1.3653951855972202,3
0,14,1,Escherichia coli,E4g11,0.6748599650605794,1.0816123099149118,3
0,14,1,Escherichia coli,E5g11,0.9855845739850276,1.3048321635059736,3
0,14,1,Escherichia coli,E6g11,1.1992997970247385,1.4612149138872887,3
0,14,2,Escherichia coli,E0g0,575.9443885417943,1.0,3
0,14,2,Escherichia coli,E1g5,26.17567108058169,1.8340893491248949,3
0,14,2,Escherichia coli,E2g6,21.993637637337798,1.9923422539183828,3
0,14,2,Escherichia coli,E3g8,4.3612297379811835,1.3653951855972202,3
0,14,2,Escherichia coli,E4g11,1.5883370268194916,1.0816123099149118,3
0,14,2,Escherichia coli,E5g11,2.1607240936107837,1.3048321635059736,3
0,14,2,Escherichia coli,E6g11,2.505711568527949,1.4612149138872887,3
0,15,1,Escherichia coli,E0g0,232.60093696852022,1.0,3
0,15,1,Escherichia coli,E1g5,19.455923853203487,1.8340893491248949,3
0,15,1,Escherichia coli,E2g6,17.51321942261252,1.9923422539183828,3
0,15,1,Escherichia coli,E3g8,2.459079060043032,1.3653951855972202,3
0,15,1,Escherichia coli,E4g11,0.699656690758429,1.0816123099149118,3
0,15,1,Escherichia coli,E5g11,1.1630916594069247,1.3048321635059736,3
0,15,1,Escherichia coli,E6g11,1.5115688518138537,1.4612149138872887,3
0,15,2,Escherichia coli,E0g0,557.4917614063537,1.0,3
0,15,2,Escherichia coli,E1g5,36.29478671741324,1.8340893491248949,3
0,15,2,Escherichia coli,E2g6,31.366684602572743,1.9923422539183828,3
0,15,2,Escherichia coli,E3g8,5.249940216639083,1.3653951855972202,3
0,15,2,Escherichia coli,E4g11,1.6340709108653146,1.0816123099149118,3
0,15,2,Escherichia coli,E5g11,2.5303653412487295,1.3048321635059736,3
0,15,2,Escherichia coli,E6g11,3.134065533823589,1.4612149138872887,3
0,16,1,Escherichia coli,E0g0,224.87543563746965,1.0,3
0,16,1,Escherichia coli,E1g5,26.95715150771243,1.8340893491248949,3
0,16,1,Escherichia coli,E2g6,24.959541791290597,1.9923422539183828,3
0,16,1,Escherichia coli,E3g8,2.9573318829879236,1.3653951855972202,3
0,16,1,Escherichia coli,E4g11,0.718974818038819,1.0816123099149118,3
0,16,1,Escherichia coli,E5g11,1.3607065213607954,1.3048321635059736,3
0,16,1,Escherichia coli,E6g11,1.8889039956422298,1.4612149138872887,3
0,16,2,Escherichia coli,E0g0,533.1492125870174,1.0,3
0,16,2,Escherichia coli,E1g5,49.7608453716592,1.8340893491248949,3
0,16,2,Escherichia coli,E2g6,44.23881489307947,1.9923422539183828,3
0,16,2,Escherichia coli,E3g8,6.245969303062255,1.3653951855972202,3
0,16,2,Escherichia coli,E4g11,1.6610529225695825,1.0816123099149118,3
0,16,2,Escherichia coli,E5g11,2.9284789386450174,1.3048321635059736,3
0,16,2,Escherichia coli,E6g11,3.87458515730643,1.4612149138872887,3
0,17,1,Escherichia coli,E0g0,214.81739561948083,1.0,3
0,17,1,Escherichia coli,E1g5,36.933652616780314,1.8340893491248949,3
0,17,1,Escherichia coli,E2g6,35.18014791321436,1.9923422539183828,3
0,17,1,Escherichia coli,E3g8,3.5153145177848044,1.3653951855972202,3
0,17,1,Escherichia coli,E4g11,0.730077901670529,1.0816123099149118,3
0,17,1,Escherichia coli,E5g11,1.573358133298239,1.3048321635059736,3
0,17,1,Escherichia coli,E6g11,2.3332790016951783,1.4612149138872887,3
0,17,2,Escherichia coli,E0g0,501.81809658387857,1.0,3
0,17,2,Escherichia coli,E1g5,67.2112163933498,1.8340893491248949,3
0,17,2,Escherichia coli,E2g6,61.47997468088143,1.9923422539183828,3
0,17,2,Escherichia coli,E3g8,7.316590751360503,1.3653951855972202,3
0,17,2,Escherichia coli,E4g11,1.6619591704536962,1.0816123099149118,3
0,17,2,Escherichia coli,E5g11,3.336827017361486,1.3048321635059736,3
0,17,2,Escherichia coli,E6g11,4.716883830749214,1.4612149138872887,3
0,18,1,Escherichia coli,E0g0,201.99262840778826,1.0,3
0,18,1,Escherichia coli,E1g5,49.85562296406381,1.8340893491248949,3
0,18,1,Escherichia coli,E2g6,48.86353986306413,1.9923422539183828,3
0,18,1,Escherichia coli,E3g8,4.114656370616212,1.3653951855972202,3
0,18,1,Escherichia coli,E4g11,0.7297903087378338,1.0816123099149118,3
0,18,1,Escherichia coli,E5g11,1.791293143217637,1.3048321635059736,3
0,18,1,Escherichia coli,E6g11,2.838415983097411,1.4612149138872887,3
0,18,2,Escherichia coli,E0g0,462.80751599408546,1.0,3
0,18,2,Escherichia coli,E1g5,89.05766951361579,1.8340893491248949,3
0,18,2,Escherichia coli,E2g6,83.83912935017604,1.9923422539183828,3
0,18,2,Escherichia coli,E3g8,8.402050576568726,1.3653951855972202,3
0,18,2,Escherichia coli,E4g11,1.6295105359968889,1.0816123099149118,3
0,18,2,Escherichia coli,E5g11,3.7269654102201506,1.3048321635059736,3
0,18,2,Escherichia coli,E6g11,5.630067023915027,1.4612149138872887,3
0,19,1,Escherichia coli,E0g0,186.1298575314492,1.0,3
0,19,1,Escherichia coli,E1g5,66.02651151742154,1.8340893491248949,3
0,19,1,Escherichia coli,E2g6,66.60230942929232,1.9923422539183828,3
0,19,1,Escherichia coli,E3g8,4.721905426929195,1.3653951855972202,3
0,19,1,Escherichia coli,E4g11,0.714960505634196,1.0816123099149118,3
0,19,1,Escherichia coli,E5g11,1.9993285301823307,1.3048321635059736,3
0,19,1,Escherichia coli,E6g11,3.3857754612507227,1.4612149138872887,3
0,19,2,Escherichia coli,E0g0,416.255743421835,1.0,3
0,19,2,Escherichia coli,E1g5,115.2482646655303,1.8340893491248949,3
0,19,2,Escherichia coli,E2g6,111.6930101549603,1.9923422539183828,3
0,19,2,Escherichia coli,E3g8,9.414958422749432,1.3653951855972202,3
0,19,2,Escherichia coli,E4g11,1.5582974885346244,1.0816123099149118,3
0,19,2,Escherichia coli,E5g11,4.061517567116813,1.3048321635059736,3
0,19,2,Escherichia coli,E6g11,6.558466475555838,1.4612149138872887,3
