rep,cycle,phase_end,species,genotype,nlag,ngrow,ntot,lag,Ta
1,4,2,Salmonella enterica,S4g4,2.0912827477480127e-05,13.448790542318841,13.448811455146318,1.9837079483027213,5
1,5,1,Escherichia coli,E0g0,9.429137482729077,9.387375896093342,18.81651337882242,1.0,5
1,5,1,Salmonella enterica,S0g0,3.695903637804394,19.351851175651262,23.047754813455658,1.0,5
1,5,1,Salmonella enterica,S1g2,8.055984932840584,7.9389624895999935,15.994947422440578,1.958357948723748,5
1,5,1,Salmonella enterica,S2g3,1.4343505363765827,2.0984391658157033,3.532789702192286,1.5999805146157624,5
1,5,1,Salmonella enterica,S3g3,0.3706862213777584,1.0463157450671372,1.4170019664448956,1.2186418299205337,5
1,5,1,Salmonella enterica,S4g4,1.0815102165860182,1.0413384737796758,2.122848690365694,1.9837079483027213,5
1,5,2,Escherichia coli,E0g0,9.776550559312762e-09,1399.408116762387,1399.4081167721636,1.0,5
1,5,2,Salmonella enterica,S0g0,3.832077837781922e-09,387.85782409818745,387.85782410201955,1.0,5
1,5,2,Salmonella enterica,S1g2,0.00014785208598343808,229.57689380353094,229.5770416556169,1.958357948723748,5
1,5,2,Salmonella enterica,S2g3,2.672962846111821e-06,54.103204319082685,54.10320699204553,1.5999805146157624,5
1,5,2,Salmonella enterica,S3g3,1.384055946474323e-08,23.140220263065622,23.14022027690618,1.2186418299205337,5
1,5,2,Salmonella enterica,S4g4,2.2616011426307713e-05,30.329283215000416,30.329305831011844,1.9837079483027213,5
1,6,1,Escherichia coli,E0g0,9.42913767402824,9.387519157379366,18.816656831407606,1.0,5
1,6,1,Salmonella enterica,S0g0,2.6133654489888856,13.511730980539635,16.125096429528522,1.0,5
1,6,1,Salmonella enterica,S1g2,17.869212667996074,17.437532992816763,35.30674566081284,1.958357948723748,5
1,6,1,Salmonella enterica,S2g3,2.3770385471812085,3.441385404830245,5.818423952011454,1.5999805146157624,5
1,6,1,Salmonella enterica,S3g3,0.3823740281819356,1.0668515749753662,1.4492256031573019,1.2186418299205337,5
1,6,1,Salmonella enterica,S4g4,2.438985350197175,2.325522026740651,4.764507376937826,1.9837079483027213,5
1,6,2,Escherichia coli,E0g0,9.751727192452567e-09,1399.4081884886984,1399.4081884984503,1.0,5
1,6,2,Salmonella enterica,S0g0,2.7027738689767083e-09,206.33099198395593,206.3309919866587,1.0,5
1,6,2,Salmonella enterica,S1g2,0.0003279447323913749,388.90089749547343,388.90122544020585,1.958357948723748,5
1,6,2,Salmonella enterica,S2g3,4.4291847430909266e-06,68.1651505951326,68.16515502431734,1.5999805146157624,5
1,6,2,Salmonella enterica,S3g3,1.4267161577014384e-08,18.03446656369396,18.034466577961123,1.2186418299205337,5
1,6,2,Salmonella enterica,S4g4,5.100139864428434e-05,52.250036229261816,52.25008723066046,1.9837079483027213,5
1,7,1,Escherichia coli,E0g0,9.42913816355102,9.387675032733016,18.816813196284038,1.0,5
