well,species,season,alive,n_genotypes,s,MIC,mutations,n_species,u,rep,gens,mutant_function
3,0,14,True,11,2.102180489548847,3.1490910388042956,7.37,1,0.001,0,20,null
4,0,14,True,10,1.6745703265346508,4.085653695041933,6.598999999999998,1,0.001,0,20,null
5,0,14,True,4,1.511027256635495,5.728355933735251,8.077,1,0.001,0,20,null
6,0,14,True,4,1.3247318943853779,6.220146205378435,9.006999999999998,1,0.001,0,20,null
7,0,14,False,0,,,,1,0.001,0,20,null
8,0,14,False,0,,,,1,0.001,0,20,null
9,0,14,False,0,,,,1,0.001,0,20,null
10,0,14,False,0,,,,1,0.001,0,20,null
11,0,14,False,0,,,,1,0.001,0,20,null
12,0,14,False,0,,,,1,0.001,0,20,null
13,0,14,False,0,,,,1,0.001,0,20,null
14,0,14,False,0,,,,1,0.001,0,20,null
0,0,15,True,12,1.8480944145568143,1.2273175189230692,5.192999999999998,1,0.001,0,20,null
1,0,15,True,12,2.1751476796778815,1.7776951815296915,6.425,1,0.001,0,20,null
2,0,15,True,6,2.2654577535045295,2.375438132950229,7.0200000000000005,1,0.001,0,20,null
3,0,15,True,11,2.1408814393762703,3.1967030420103417,7.732,1,0.001,0,20,null
4,0,15,True,14,1.9555565517327116,4.026794774965417,7.016,1,0.001,0,20,null
5,0,15,True,7,1.510900207011369,5.724218908750339,8.08,1,0.001,0,20,null
6,0,15,True,9,1.4200687643180538,6.216748656339177,9.483999999999998,1,0.001,0,20,null
7,0,15,True,7,1.4195296790499037,7.258473998920146,10.017999999999999,1,0.001,0,20,null
8,0,15,False,0,,,,1,0.001,0,20,null
9,0,15,False,0,,,,1,0.001,0,20,null
10,0,15,False,0,,,,1,0.001,0,20,null
11,0,15,False,0,,,,1,0.001,0,20,null
12,0,15,False,0,,,,1,0.001,0,20,null
13,0,15,False,0,,,,1,0.001,0,20,null
14,0,15,False,0,,,,1,0.001,0,20,null
0,0,16,True,13,1.8501998076605457,1.2504985087885443,5.265999999999999,1,0.001,0,20,null
1,0,16,True,22,2.237084716256016,1.9051170141972762,7.018000000000001,1,0.001,0,20,null
2,0,16,True,9,2.270866157083524,2.3682897428879,7.088,1,0.001,0,20,null
3,0,16,True,16,2.178674860560874,3.2244044538631127,7.9490000000000025,1,0.001,0,20,null
4,0,16,True,10,1.976409300133235,4.0440405160375406,7.139000000000001,1,0.001,0,20,null
5,0,16,True,7,1.5106903300579106,5.722626950069481,8.086000000000002,1,0.001,0,20,null
6,0,16,True,6,1.4951914416639376,6.21641434034915,9.930999999999997,1,0.001,0,20,null
7,0,16,True,6,1.4196991633455076,7.266722451009221,10.025,1,0.001,0,20,null
8,0,16,False,0,,,,1,0.001,0,20,null
9,0,16,False,0,,,,1,0.001,0,20,null
10,0,16,False,0,,,,1,0.001,0,20,null
11,0,16,False,0,,,,1,0.001,0,20,null
12,0,16,False,0,,,,1,0.001,0,20,null
13,0,16,False,0,,,,1,0.001,0,20,null
14,0,16,False,0,,,,1,0.001,0,20,null
0,0,17,True,16,1.857264945041749,1.2467945714037985,5.275999999999999,1,0.001,0,20,null
1,0,17,True,14,2.276761313717067,1.961854514201251,7.3279999999999985,1,0.001,0,20,null
2,0,17,True,9,2.3015038640529264,2.389462798815763,7.300999999999999,1,0.001,0,20,null
3,0,17,True,13,2.2091829552526403,3.26413871212811,8.026,1,0.001,0,20,null
4,0,17,True,18,1.9785775781765305,4.079509347473154,7.258000000000001,1,0.001,0,20,null
5,0,17,True,7,1.5110815601518823,5.72499638592798,8.105,1,0.001,0,20,null
6,0,17,True,11,1.5211709922379464,6.322115716256233,10.271999999999998,1,0.001,0,20,null
7,0,17,True,16,1.4195934635281866,7.264333332508846,10.079999999999998,1,0.001,0,20,null
8,0,17,False,0,,,,1,0.001,0,20,null
9,0,17,False,0,,,,1,0.001,0,20,null
10,0,17,False,0,,,,1,0.001,0,20,null
11,0,17,False,0,,,,1,0.001,0,20,null
12,0,17,False,0,,,,1,0.001,0,20,null
13,0,17,False,0,,,,1,0.001,0,20,null
14,0,17,False,0,,,,1,0.001,0,20,null
0,0,18,True,12,1.8608255912120717,1.2631857147118153,5.320999999999999,1,0.001,0,20,null
1,0,18,True,15,2.287606206048369,2.0030025520821395,7.481999999999999,1,0.001,0,20,null
2,0,18,True,9,2.43916270300674,2.3723494455917744,7.656,1,0.001,0,20,null
3,0,18,True,16,2.2406156270159765,3.2916460539586576,8.045,1,0.001,0,20,null
4,0,18,True,14,1.9855038798628586,4.0955784381462195,7.280000000000001,1,0.001,0,20,null
5,0,18,True,8,1.8208511606278173,5.279402656666249,8.021,1,0.001,0,20,null
6,0,18,True,10,1.5495956092962344,6.521214263443819,10.666999999999996,1,0.001,0,20,null
7,0,18,True,12,1.5503061756472372,7.151428878086281,11.040999999999999,1,0.001,0,20,null
8,0,18,False,0,,,,1,0.001,0,20,null
9,0,18,False,0,,,,1,0.001,0,20,null
10,0,18,False,0,,,,1,0.001,0,20,null
11,0,18,False,0,,,,1,0.001,0,20,null
12,0,18,False,0,,,,1,0.001,0,20,null
13,0,18,False,0,,,,1,0.001,0,20,null
14,0,18,False,0,,,,1,0.001,0,20,null
0,0,19,True,13,1.868118439489134,1.2331013956797354,5.374,1,0.001,0,20,null
1,0,19,True,9,2.300601843599831,2.030897191894015,7.623000000000002,1,0.001,0,20,null
2,0,19,True,7,2.5512906341456754,2.3792321406640147,8.023,1,0.001,0,20,null
3,0,19,True,15,2.299428231854513,3.2979250049920315,8.246000000000002,1,0.001,0,20,null
4,0,19,True,10,2.014380020708072,4.253629601616116,7.514000000000001,1,0.001,0,20,null
5,0,19,True,8,1.952814484255228,5.1270720721806615,8.071000000000002,1,0.001,0,20,null
6,0,19,True,8,1.6119393644626623,6.777638959420382,11.315000000000001,1,0.001,0,20,null
7,0,19,True,13,1.6772448771699262,7.069070892140921,12.006,1,0.001,0,20,null
8,0,19,True,7,1.41114605274102,8.209143152860571,11.023999999999997,1,0.001,0,20,null
9,0,19,False,0,,,,1,0.001,0,20,null
10,0,19,False,0,,,,1,0.001,0,20,null
11,0,19,False,0,,,,1,0.001,0,20,null
12,0,19,False,0,,,,1,0.001,0,20,null
13,0,19,False,0,,,,1,0.001,0,20,null
14,0,19,False,0,,,,1,0.001,0,20,null
0,0,0,True,4,1.0018881932831736,0.004379942963529463,0.025,2,0.001,0,20,null
0,1,0,True,4,1.001308733846862,0.0011850995531709028,0.013000000000000001,2,0.001,0,20,null
1,0,0,False,0,,,,2,0.001,0,20,null
1,1,0,False,0,,,,2,0.001,0,20,null
2,0,0,False,0,,,,2,0.001,0,20,null
2,1,0,False,0,,,,2,0.001,0,20,null
3,0,0,False,0,,,,2,0.001,0,20,null
3,1,0,False,0,,,,2,0.001,0,20,null
4,0,0,False,0,,,,2,0.001,0,20,null
4,1,0,False,0,,,,2,0.001,0,20,null
5,0,0,False,0,,,,2,0.001,0,20,null
5,1,0,False,0,,,,2,0.001,0,20,null
6,0,0,False,0,,,,2,0.001,0,20,null
6,1,0,False,0,,,,2,0.001,0,20,null
7,0,0,False,0,,,,2,0.001,0,20,null
7,1,0,False,0,,,,2,0.001,0,20,null
8,0,0,False,0,,,,2,0.001,0,20,null
8,1,0,False,0,,,,2,0.001,0,20,null
9,0,0,False,0,,,,2,0.001,0,20,null
9,1,0,False,0,,,,2,0.001,0,20,null
10,0,0,False,0,,,,2,0.001,0,20,null
10,1,0,False,0,,,,2,0.001,0,20,null
11,0,0,False,0,,,,2,0.001,0,20,null
11,1,0,False,0,,,,2,0.001,0,20,null
12,0,0,False,0,,,,2,0.001,0,20,null
12,1,0,False,0,,,,2,0.001,0,20,null
13,0,0,False,0,,,,2,0.001,0,20,null
13,1,0,False,0,,,,2,0.001,0,20,null
14,0,0,False,0,,,,2,0.001,0,20,null
14,1,0,False,0,,,,2,0.001,0,20,null
0,0,1,True,8,1.0150271885417694,0.028697904011366876,0.14500000000000002,2,0.001,0,20,null
0,1,1,True,6,1.0090790917014647,0.031739105977415215,0.11800000000000001,2,0.001,0,20,null
1,0,1,False,0,,,,2,0.001,0,20,null
1,1,1,False,0,,,,2,0.001,0,20,null
2,0,1,False,0,,,,2,0.001,0,20,null
2,1,1,False,0,,,,2,0.001,0,20,null
3,0,1,False,0,,,,2,0.001,0,20,null
3,1,1,False,0,,,,2,0.001,0,20,null
4,0,1,False,0,,,,2,0.001,0,20,null
4,1,1,False,0,,,,2,0.001,0,20,null
5,0,1,False,0,,,,2,0.001,0,20,null
5,1,1,False,0,,,,2,0.001,0,20,null
