seed,culture,met,rep,frac_slope
154,Monoculture,27,7,0.12255712801421284
154,Monoculture,27,8,0.1171948870394189
154,Monoculture,27,9,0.11964556660979771
154,Coculture,27,0,0.11644100918089109
154,Monoculture,28,0,0.12250837883601909
154,Monoculture,28,1,0.11471480417700687
154,Monoculture,28,2,0.08435972245092523
154,Monoculture,28,3,0.11754817468196131
154,Monoculture,28,4,0.13382362145285628
154,Monoculture,28,5,0.09457589436502793
154,Monoculture,28,6,0.11226073243280049
154,Monoculture,28,7,0.11892658175177263
154,Monoculture,28,8,0.10869704559457748
154,Monoculture,28,9,0.10664848823918027
154,Coculture,28,0,0.11644100918089109
154,Monoculture,29,0,0.11175608925642622
154,Monoculture,29,1,0.11544726372027977
154,Monoculture,29,2,0.09368458053837517
154,Monoculture,29,3,0.11693051573632274
154,Monoculture,29,4,0.1140368054269008
154,Monoculture,29,5,0.15058375751031475
154,Monoculture,29,6,0.10468720504647377
154,Monoculture,29,7,0.11354538545845994
154,Monoculture,29,8,0.11113552983600718
154,Monoculture,29,9,0.10131476982430151
154,Coculture,29,0,0.11644100918089109
154,Monoculture,30,0,0.12200906111738728
154,Monoculture,30,1,0.11395421741010857
154,Monoculture,30,2,0.12871500181676013
154,Monoculture,30,3,0.11026567437129244
154,Monoculture,30,4,0.10899066871820044
154,Monoculture,30,5,0.10479533702759324
154,Monoculture,30,6,0.13275165707297734
154,Monoculture,30,7,0.09588057990586178
154,Monoculture,30,8,0.13404007108553762
154,Monoculture,30,9,0.10142914937387196
154,Coculture,30,0,0.11644100918089109
154,Monoculture,31,0,0.09490669128449666
154,Monoculture,31,1,0.1130888476668921
154,Monoculture,31,2,0.1041610621081283
154,Monoculture,31,3,0.10000154887338782
154,Monoculture,31,4,0.112670349968637
154,Monoculture,31,5,0.11110472855915789
154,Monoculture,31,6,0.10762548873537979
154,Monoculture,31,7,0.09084821738891415
154,Monoculture,31,8,0.11100645468488092
154,Monoculture,31,9,0.14027016590851518
154,Coculture,31,0,0.11644100918089109
154,Monoculture,32,0,0.09986732187101004
154,Monoculture,32,1,0.10518905252496669
154,Monoculture,32,2,0.1245053971403061
154,Monoculture,32,3,0.11160667735629924
154,Monoculture,32,4,0.1053637925498616
154,Monoculture,32,5,0.10625126941773423
154,Monoculture,32,6,0.1278297351260842
154,Monoculture,32,7,0.11503516547164105
154,Monoculture,32,8,0.12133480673298659
154,Monoculture,32,9,0.11727575198876285
154,Coculture,32,0,0.11644100918089109
154,Monoculture,33,0,0.12679106143406657
154,Monoculture,33,1,0.10171054798348964
154,Monoculture,33,2,0.12899584051315408
154,Monoculture,33,3,0.11978932416520399
154,Monoculture,33,4,0.12546057798499569
154,Monoculture,33,5,0.10681835297351325
154,Monoculture,33,6,0.09924311093678147
154,Monoculture,33,7,0.11959563111449945
154,Monoculture,33,8,0.11390302007806187
154,Monoculture,33,9,0.12250203078019534
154,Coculture,33,0,0.11644100918089109
154,Monoculture,34,0,0.11523392010466897
154,Monoculture,34,1,0.1078110990288002
154,Monoculture,34,2,0.10773178358210157
154,Monoculture,34,3,0.11197819500797528
154,Monoculture,34,4,0.09631995983457967
154,Monoculture,34,5,0.10563364911700855
154,Monoculture,34,6,0.12194490191146691
154,Monoculture,34,7,0.11452231377872812
154,Monoculture,34,8,0.11981662954731141
154,Monoculture,34,9,0.12952516538053793
154,Coculture,34,0,0.11644100918089109
154,Monoculture,35,0,0.10386510231037503
154,Monoculture,35,1,0.12810208239258486
154,Monoculture,35,2,0.12080852316837357
154,Monoculture,35,3,0.1187919958907959
154,Monoculture,35,4,0.14206115657074433
154,Monoculture,35,5,0.11547772905258918
154,Monoculture,35,6,0.10671101798634762
154,Monoculture,35,7,0.16086505048621416
154,Monoculture,35,8,0.1100479223117677
154,Monoculture,35,9,0.12281820079447182
154,Coculture,35,0,0.11644100918089109
154,Monoculture,36,0,0.1121743593311892
154,Monoculture,36,1,0.12791373159392694
154,Monoculture,36,2,0.11698019153938859
154,Monoculture,36,3,0.1029850536861066
154,Monoculture,36,4,0.12074741293540422
154,Monoculture,36,5,0.109809739586022
154,Monoculture,36,6,0.11206483931800792
