culture,dur,rep,frac_slope
Coculture,18,8,0.004148006640662235
Monoculture,18,9,0.007184418956214435
Coculture,18,9,0.006299347615308428
Monoculture,19,0,0.00563202598231637
Coculture,19,0,0.005010788929345976
Monoculture,19,1,0.006106351768825916
Coculture,19,1,0.005820372956972478
Monoculture,19,2,0.00411896591199095
Coculture,19,2,0.006042951057321363
Monoculture,19,3,0.0068671977526776
Coculture,19,3,0.006211073698313488
Monoculture,19,4,0.0038913736356591603
Coculture,19,4,0.007728944157317966
Monoculture,19,5,0.004529504595196299
Coculture,19,5,0.003965515082427306
Monoculture,19,6,0.003735172251701328
Coculture,19,6,0.0057925288244386145
Monoculture,19,7,0.004909069540846554
Coculture,19,7,0.0055328594226428844
Monoculture,19,8,0.006098606520878725
Coculture,19,8,0.007061548760883353
Monoculture,19,9,0.005618037615613208
Coculture,19,9,0.0059810802127509164
Monoculture,20,0,0.004977651718257742
Coculture,20,0,0.006026414578815768
Monoculture,20,1,0.008301110974710516
Coculture,20,1,0.006945494432195878
Monoculture,20,2,0.004619930952414785
Coculture,20,2,0.004633264836985582
Monoculture,20,3,0.0035745298222273313
Coculture,20,3,0.005882535609883245
Monoculture,20,4,0.004693357299777481
Coculture,20,4,0.0064346313824506386
Monoculture,20,5,0.003838924113287701
Coculture,20,5,0.006455840060907499
Monoculture,20,6,0.005428190447365274
Coculture,20,6,0.006962072459287686
Monoculture,20,7,0.004992885972121509
Coculture,20,7,0.005008053746998786
Monoculture,20,8,0.006052111881567927
Coculture,20,8,0.00942724436011752
Monoculture,20,9,0.015014097284729331
Coculture,20,9,0.0049278111140295755
Monoculture,30,0,0.006374252230241011
Coculture,30,0,0.007341155675645303
Monoculture,30,1,0.0036853428191464944
Coculture,30,1,0.0059460484124201195
Monoculture,30,2,0.004375998310803707
Coculture,30,2,0.0036646330544329044
Monoculture,30,3,0.0047357659132313676
Coculture,30,3,0.005860602823450778
Monoculture,30,4,0.0060367816678869425
Coculture,30,4,0.00517525507154308
Monoculture,30,5,0.003822216927909033
Coculture,30,5,0.004013201300542309
Monoculture,30,6,0.005753018673445112
Coculture,30,6,0.007615031089716451
Monoculture,30,7,0.005078028194461852
Coculture,30,7,0.004830744872489026
Monoculture,30,8,0.006211748600179741
Coculture,30,8,0.007096628169598763
Monoculture,30,9,0.004635783391718814
Coculture,30,9,0.006739124222626549
Monoculture,45,0,0.004804373360029728
Coculture,45,0,0.006818492284696331
Monoculture,45,1,0.005635462789462654
Coculture,45,1,0.004974261370067692
Monoculture,45,2,0.003524609035997079
Coculture,45,2,0.004604891780540285
Monoculture,45,3,0.004112481407339114
Coculture,45,3,0.002372959924604477
Monoculture,45,4,0.004747721486070358
Coculture,45,4,0.005673927201145056
Monoculture,45,5,0.004835230956828827
Coculture,45,5,0.008290215032864678
Monoculture,45,6,0.002532079575551592
Coculture,45,6,0.005828984232650825
Monoculture,45,7,0.005273551769583508
Coculture,45,7,0.004058478359266506
Monoculture,45,8,0.004735168885659253
Coculture,45,8,0.005036212480813189
Monoculture,45,9,0.0025407957089433513
Coculture,45,9,0.00444687744705493
