seed,culture,lac,rep,frac_slope
763,Monoculture,250,1,0.1311516569828248
763,Coculture,250,1,0.12719449197945468
763,Monoculture,250,2,0.11622291164771614
763,Coculture,250,2,0.1092064348625958
763,Monoculture,250,3,0.1238780785478578
763,Coculture,250,3,0.11377812797431255
763,Monoculture,250,4,0.11315866262068439
763,Coculture,250,4,0.11583346476753875
763,Monoculture,250,5,0.1121278926967966
763,Coculture,250,5,0.10350716247592773
763,Monoculture,250,6,0.11130816410198978
763,Coculture,250,6,0.1113167836011974
763,Monoculture,250,7,0.10092527642226863
763,Coculture,250,7,0.12268702317007053
763,Monoculture,250,8,0.11927808839073878
763,Coculture,250,8,0.12114947535594447
763,Monoculture,250,9,0.12794195848945555
763,Coculture,250,9,0.1262578487293283
763,Monoculture,300,0,0.11423546395477649
763,Coculture,300,0,0.12506115390762157
763,Monoculture,300,1,0.12479410415200218
763,Coculture,300,1,0.10309238637311463
763,Monoculture,300,2,0.09582651734098735
763,Coculture,300,2,0.11288201687790142
763,Monoculture,300,3,0.13011716872158788
763,Coculture,300,3,0.12377977825377084
763,Monoculture,300,4,0.10529863673134068
763,Coculture,300,4,0.1117898750777351
763,Monoculture,300,5,0.1088446137624755
763,Coculture,300,5,0.10474242574696133
763,Monoculture,300,6,0.11085705952752645
763,Coculture,300,6,0.11578454673083687
763,Monoculture,300,7,0.1198626590608082
763,Coculture,300,7,0.11195382916883284
763,Monoculture,300,8,0.10498476901185468
763,Coculture,300,8,0.12195285790429913
763,Monoculture,300,9,0.11198220554420173
763,Coculture,300,9,0.1302680328166681
763,Monoculture,350,0,0.1071177413270313
763,Coculture,350,0,0.11327317405767279
763,Monoculture,350,1,0.10740950307325876
763,Coculture,350,1,0.12600209672453236
763,Monoculture,350,2,0.12651618626938071
763,Coculture,350,2,0.12026151722477108
763,Monoculture,350,3,0.11849230987570586
763,Coculture,350,3,0.12859289712370323
763,Monoculture,350,4,0.1478361209488207
763,Coculture,350,4,0.12944489587493435
763,Monoculture,350,5,0.11500125162469771
763,Coculture,350,5,0.12082435033967488
763,Monoculture,350,6,0.11472248451568742
763,Coculture,350,6,0.1351148217137594
763,Monoculture,350,7,0.10715630571426885
763,Coculture,350,7,0.12506684600201376
763,Monoculture,350,8,0.112787117338696
763,Coculture,350,8,0.13335587688338318
763,Monoculture,350,9,0.11684100214027615
763,Coculture,350,9,0.11380030723011612
763,Monoculture,400,0,0.11819033936588554
763,Coculture,400,0,0.11232976466052257
763,Monoculture,400,1,0.13549185600552108
763,Coculture,400,1,0.11500022656224623
763,Monoculture,400,2,0.10386430544460774
763,Coculture,400,2,0.12158346618277979
763,Monoculture,400,3,0.1165857322506038
763,Coculture,400,3,0.10916839724136765
763,Monoculture,400,4,0.10978605402458264
763,Coculture,400,4,0.11557080831743827
763,Monoculture,400,5,0.10589306211600007
763,Coculture,400,5,0.10988875280385511
763,Monoculture,400,6,0.11787466179244559
763,Coculture,400,6,0.11161336517269131
763,Monoculture,400,7,0.113165378336834
763,Coculture,400,7,0.12006286191071285
763,Monoculture,400,8,0.14713995560546705
763,Coculture,400,8,0.11297389750357081
763,Monoculture,400,9,0.1024122975605107
763,Coculture,400,9,0.12583374728167998
763,Monoculture,500,0,0.1211928172502363
763,Coculture,500,0,0.12303598984281355
763,Monoculture,500,1,0.11753082783890496
763,Coculture,500,1,0.1107390799680208
763,Monoculture,500,2,0.1152945366439634
763,Coculture,500,2,0.11401230668246218
763,Monoculture,500,3,0.11416917644077197
763,Coculture,500,3,0.1238172287461978
763,Monoculture,500,4,0.10802154185461922
763,Coculture,500,4,0.10368340822401664
763,Monoculture,500,5,0.11770993993883565
763,Coculture,500,5,0.11572814936484034
763,Monoculture,500,6,0.10951454307162359
763,Coculture,500,6,0.11467038148625101
763,Monoculture,500,7,0.11446075651990394
763,Coculture,500,7,0.1224392216189453
